"Report number","Report date","President","President last name","Administration","Location","Purpose/Mission","Purpose detail","Military activity","Military activity detail","Type of enemy or mission","Type of enemy or mission detail","Hostilities/imminent hostilities reported 4(a)(1)","Combat-equipped introduction reported 4(a)(2)","Substantial enlargement reported 4(a)(3)","48-Hour WPR Report Trigger","Domestic Legal Authority","Domestic Legal Authority detail","Estimated scope and duration","Estimated scope and duration detail","Stated scope and duration","Actual scope and duration","Joint/Coalition Mission","Joint/Coalition Mission Details","Claimed International Legal Basis","Claimed International Legal Basis Detail","US casualties","US casualties detail","Non-US casualties","Non-U.S. casualties detail","Article 51 Report to UN","Article 51 detail","Link to Article 51 Report to UN","Related reports","Report file"
"20161014A","2016-10-14","Barack Obama","Obama","Second Term","[""Yemen""]","[""Respond to threat""]","""in response to anti-ship cruise missile launches perpetrated by Houthi insurgents that threatened U.S. Navy warships in the international waters of the Red Sea""; ""to protect our personnel and our ships and ... preserve our freedom of navigation in this important maritime passageway""","[""Air operations""]","""U.S. Armed Forces conducted missile strikes on radar facilities in Houthi-controlled territory in Yemen""","[""Non-state actor""]","Houthi insurgents","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I directed these strikes pursuant to my constitutional authority to conduct U.S. foreign relations and as Commander in Chief and Chief Executive""","Scope/duration specified","""These limited and proportionate strikes were conducted to protect our personnel and our ships""; ""Initial assessments show that the radar facilities were destroyed by the strikes.""","Yes","1-2 days","No",,"[""Self-Defense"",""Consent of territorial state""]","Stated in letter to UN. Self-defense also invoked: ""limited and proportionate strikes were conducted to protect our personnel and our ships and will preserve our freedom of navigation in this important maritime passageway. The United States stands ready to take action in self-defense, as necessary and appropriate, to address further threats.""","No",,"Unknown",,"Yes","S/2016/869","https://digitallibrary.un.org/record/845449?ln=en",,"//assets.ctfassets.net/6hn51hpulw83/79JbSP8Fuses2gv7sCfs47/3a9f502dc8a73f7d03cd1db6ad2f0947/20161014-Obama.pdf"
"20170408A","2017-04-08","Donald Trump","Trump","Only Term","[""Syria""]","[""Humanitarian""]","""to degrade the Syrian military’s ability to conduct further chemical weapons attacks and to dissuade the Syrian regime from using or proliferating chemical weapons, thereby promoting the stability of the region and averting a worsening of the region’s current humanitarian catastrophe.""","[""Air operations""]","""United States military forces in the Mediterranean Sea, operating beyond the territorial sea of any state, struck the Shayrat military airfield in Syria.""","[""Nation-state""]","Syria","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I acted in the vital national security and foreign policy interests of the United States, pursuant to my constitutional authority to conduct foreign relations and as Commander in Chief and Chief Executive""","Scope/duration specified","""The United States will take additional action, as necessary and appropriate, to further its important national interests.""","No","1-2 days","No",,"[""Unknown""]",,"Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,"[""20180415A""]","//assets.ctfassets.net/6hn51hpulw83/4FT3HHB2MHHUnTFP7e1bIC/b560d7509a1febd912e22ec899313a30/20170408-Trump.pdf"
"20180415A","2018-04-15","Donald Trump","Trump","Only Term","[""Syria""]","[""Humanitarian""]","""to degrade the Syrian military’s ability to conduct further chemical weapons attacks and to dissuade the Syrian government from using or proliferating chemical weapons""; ""to promote the stability of the region, to deter the use and proliferation of chemical weapons, and to avert a worsening of the region’s current humanitarian catastrophe""","[""Air operations""]","""United States military forces, acting in concert with French and British military forces, struck Syrian military chemical weapons-related facilities. The targets of the combined operation were a scientific research center installation, a storage facility, and a bunker.""","[""Nation-state""]","Syria","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I acted pursuant to my constitutional authority to conduct foreign relations and as Commander in Chief and Chief Executive and in the vital national security and foreign policy interests of the United States to promote the stability of the region, to deter the use and proliferation of chemical weapons, and to avert a worsening of the region’s current humanitarian catastrophe.""","Scope/duration specified","""The United States will take additional action, as necessary and appropriate, to further its important national interests.""","No","1-2 days","Yes","""acting in concert with French and British military forces""","[""Unknown""]",,"Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,"[""20170408A""]","//assets.ctfassets.net/6hn51hpulw83/2EAF2bWQM4gxPDHHlPRyfK/b6624b8b215d5ce2f0d0c0439d63528c/20180415-Trump.pdf"
"20190104A","2019-01-04","Donald Trump","Trump","Only Term","[""Gabon""]","[""Protect US citizens, property""]","""to be in position to support the security of United States citizens, personnel, and diplomatic facilities in Kinshasa, Democratic Republic of the Congo""; ""in response to the possibility that violent demonstrations may occur in the Democratic Republic of the Congo in reaction to the December 30, 2018, elections there""","[""Air operations"",""Use of ground forces""]","""deployment of approximately 80 personnel... with appropriate combat equipment and supported by military aircraft.""","[""Non-state actor"",""Embassy protection""]","""violent demonstrations may occur""","No, as described in/inferred from report","Yes, described in/inferred from report","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""This action was taken consistent with my responsibility to protect United States citizens both at home and abroad, and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority to conduct United States foreign relations and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","""Additional forces may deploy to Gabon, the Democratic Republic of the Congo, or the Republic of the Congo, if necessary for these purposes. These deployed personnel will remain in the region until the security situation in the Democratic Republic of the Congo becomes such that their presence is no longer needed.""","No","Unknown","No",,"[""Unknown""]",,"Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/Plv9gVi8zRRmAZy58xOpp/191241c6aae7c87d5417f1fda7d35e4b/20190104-Trump.pdf"
"20191119A","2019-11-19","Donald Trump","Trump","Only Term","[""Saudi Arabia""]","[""Advise/Assist""]","""To assure our partners, deter further Iranian provocative behavior, and bolster regional defensive capabilities""","[""Air operations"",""Use of ground forces""]","""Additional forces ordered to deploy to the Kingdom of Saudi Arabia include radar and missile systems to improve defenses against air and missile threats in the region, an air expeditionary wing to support the operation of United States fighter aircraft from the Kingdom of Saudi Arabia, and two fighter squadrons.""","[""Nation-state""]","""Iran and its proxy forces""","No, as described in/inferred from report","No, as described in/inferred from report","Yes, described in/inferred from report","[""Substantial enlargement (WPR §4(a)(3))""]","[""Constitution (Art. II)""]","""I have taken this action consistent with my responsibility to protect United States citizens at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority to conduct United States foreign relations and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","""These personnel will remain deployed as long as their presence is required to fulfill the missions described above.""","No","Unknown","No",,"[""Unknown""]",,"Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/2nlfVNJFOfXjnPmxOjKOby/aa3ab9d1593812eb00c506b849583709/20191119-Trump.pdf"
"20201101A","2020-11-01","Donald Trump","Trump","Only Term","[""Nigeria""]","[""Rescue/Hostage recovery""]","“to rescue Mr. Philippe Walton, a United States citizen.”","[""Use of ground forces""]","“The operation was undertaken by a small number of combat equipped United States forces""","[""Rescue/Evacuation of nationals""]","“his captors”","Insufficient information to infer from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","“I directed this action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national interests, pursuant to my constitutional authority as Commander in Chief and Chief Executive.”","Scope/duration specified","“on October 30, 2020, United States forces conducted an operation… These forces departed Nigeria on October 31, 2020, successfully completing the operation.”","Yes","1-2 days","No",,"[""Unknown""]",,"No","""No United States military personnel were injured or killed during the operation.""","Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/zBrcnwm1yIW9MuH44fJDO/8d69ddf4aa6d1dd043f57c69a0e81092/20201101-Trump.pdf"
"20210227A","2021-02-27","Joe Biden","Biden","Current Term","[""Syria""]","[""Respond to threat""]","""In response, I directed this military action to protect and defend our personnel and our partners against these attacks and future such attacks.""","[""Air operations""]","""United States forces conducted a targeted military strike against infrastructure in eastern Syria used by Iran-supported non-state militia groups""","[""Non-state actor""]","""Iran-supported non-state militia groups""","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I directed this military action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority to conduct United States foreign relations and as Commander in Chief and Chief Executive.""","Scope/duration specified","""on February 25, 2021, United States forces conducted a targeted military strike""","Yes","1-2 days","No",,"[""Self-Defense""]","""The United States took this action pursuant to the United States’ inherent right of self-defense as reflected in Article 51 of the United Nations Charter""; ""The United States always stands ready to take necessary and proportionate action in self-defense, including when, as is the case here, the government of the state where the threat is located is unwilling or unable to prevent the use of its territory by non-state militia groups responsible for such attacks.""","Yes","""Those non-state militia groups were involved in recent attacks against United States and Coalition personnel in Iraq, including the February 15, 2021, attack in Erbil, Iraq, which wounded one United States service member, wounded four United States contractors, including one critically, and killed one Filipino contractor.""","Unknown",,"Yes","S/2021/202","https://digitallibrary.un.org/record/3903586?ln=en","[""20210629A"",""20220825A"",""20230325A"",""20231027A"",""20231110A"",""20231114A"",""20231122A"",""20231227A"",""20240125A"",""20240204A""]","//assets.ctfassets.net/6hn51hpulw83/5fczyX6Tuwqq5AvC5dqMjZ/df0483dac2d9f69a61ec36d6bbee345a/20210227-Biden.pdf"
"20210629A","2021-06-29","Joe Biden","Biden","Current Term","[""Syria"",""Iraq""]","[""Respond to threat""]","""I directed the June 27 strikes in order to protect and defend the safety of our personnel, to degrade and disrupt the ongoing series of attacks against the United States and our partners, and to deter the Islamic Republic of Iran and Iran-backed militia groups from conducting or supporting further attacks on United States personnel and facilities.""","[""Air operations""]","""United States forces conducted targeted strikes against facilities at two locations in Syria and one location in Iraq near the Iraq-Syria border""","[""Non-state actor""]","""Iran-backed militia groups""","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I directed this discrete military action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority to conduct United States foreign relations and as Commander in Chief and Chief Executive""","Scope/duration specified","""on June 27, 2021, United States forces conducted targeted strikes""","Yes","1-2 days","No",,"[""Self-Defense""]","""The United States took this necessary and proportionate action consistent with international law, and in the exercise of the United States’ inherent right of self-defense as reflected in Article 51 of the United Nations Charter.""","Unknown","Militia attacks ""against United States personnel and facilities in Iraq... have escalated in recent months;"" ""these attacks have injured and threatened the lives of United States and Coalition personnel.""","Unknown",,"Yes","S/2021/614","https://www.justsecurity.org/wp-content/uploads/2021/06/US-to-UN-Letter-210629-US-letter-of-29-June-Article-51.pdf","[""20210227A"",""20220825A"",""20230325A"",""20231027A"",""20231110A"",""20231114A"",""20231122A"",""20231227A"",""20240125A"",""20240204A""]","//assets.ctfassets.net/6hn51hpulw83/3pUc6Wy4Q5l8hNbbu8HGVc/38b1392558198470b1dcbcf32a8395e6/20210629-Biden.pdf"
"20220825A","2022-08-25","Joe Biden","Biden","Current Term","[""Syria""]","[""Respond to threat""]","""in order to protect and defend the safety of our personnel, to degrade and disrupt the ongoing series of attacks against the United States and our partners, and to deter the Islamic Republic of Iran and Iran-backed militia groups from conducting or supporting further attacks on United States personnel and facilities.""","[""Air operations""]","""United States forces conducted precision strikes against a facility in eastern Syria""","[""Non-state actor""]","""Iran-backed militia groups""","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I directed this discrete military action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority as Commander in Chief and Chief Executive and to conduct United States foreign relations.""","Scope/duration specified","""on August 23, 2022, United States forces conducted precision strikes""","Yes","1-2 days","No",,"[""Self-Defense""]","""The United States took this necessary and proportionate action consistent with international law, and in the exercise of the United States’ inherent right of self-defense as reflected in Article 51 of the United Nations Charter.""","Unknown",,"Unknown",,"Yes","S/2022/647","https://www.justsecurity.org/wp-content/uploads/2022/09/8.26.2022-Art.-51-Letter-Syria.pdf","[""20210227A"",""20210629A"",""20230325A"",""20231027A"",""20231110A"",""20231114A"",""20231122A"",""20231227A"",""20240125A"",""20240204A""]","//assets.ctfassets.net/6hn51hpulw83/xFadPiA91VzQpUfXJq2zN/d04e9604c798d36a1ba20e4cdc0099ab/20220825-Biden.pdf"
"20230325A","2023-03-25","Joe Biden","Biden","Current Term","[""Syria""]","[""Respond to threat""]","""in order to protect and defend the safety of our personnel, to degrade and disrupt the ongoing series of attacks against the United States and our partners, and to deter the Islamic Republic of Iran and Iran-backed militia groups from conducting or supporting further attacks on United States personnel and facilities.""","[""Air operations""]","""United States forces conducted targeted strikes against facilities in eastern Syria in response to this series of attacks and continuing threats of future attacks""","[""Non-state actor""]","""militia groups affiliated with Iran’s Islamic Revolutionary Guard Corps (IRGC)""","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I directed this discrete military action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority as Commander in Chief and Chief Executive and to conduct United States foreign relations.""","Scope/duration specified","""on March 23, 2023, United States forces conducted targeted strikes""","Yes","1-2 days","No",,"[""Self-Defense""]","""The United States took this necessary and proportionate action consistent with international law, and in the exercise of the United States’ inherent right of self-defense as reflected in Article 51 of the United Nations Charter.""","Yes","""On March 23, 2023, a one-way unmanned aerial system attack tragically killed one American contractor supporting the United States military, and wounded six others, including five United States service members.""","Unknown","""they were conducted in a manner intended to establish deterrence, limit the risk of escalation, and avoid civilian casualties""","Yes","S/2023/227","https://www.justsecurity.org/wp-content/uploads/2023/03/US-Article-51-3.28.23.pdf","[""20210227A"",""20210629A"",""20220825A"",""20231027A"",""20231110A"",""20231114A"",""20231122A"",""20231227A"",""20240125A"",""20240204A""]","//assets.ctfassets.net/6hn51hpulw83/4lnONGNTmxfflsakH1stV/34ba1076a30dabd35225cead38ece2be/20230325A-Biden.pdf"
"20230423A","2023-04-23","Joe Biden","Biden","Current Term","[""Djibouti"",""Ethiopia"",""Sudan""]","[""Evacuation""]","""At my direction, United States Armed Forces personnel have conducted an operation to evacuate United States personnel and others from Khartoum, Sudan, in response to the deteriorating security situation in Sudan.""","[""Unknown""]","""To conduct and support this operation, United States Armed Forces personnel with appropriate combat equipment deployed to Djibouti, Ethiopia, and Sudan.""","[""Rescue/Evacuation of nationals""]","""deteriorating security situation in Sudan""","No, as described in/inferred from report","Yes, described in/inferred from report","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""I directed this action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority as Commander in Chief and Chief Executive and to conduct United States foreign relations.""","Mission-bound but indeterminate","""United States Armed Forces personnel will remain deployed in Djibouti to protect United States personnel and others until the security situation no longer requires their presence, and additional forces are prepared to deploy to the region if required.""","No","Unknown","No",,"[""Unknown""]",,"Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/4UMKrcLW78wafAyNBkYRKc/b22bd2ab4e719e61e5edf0558c310178/20230423-Biden.pdf"
"20231027A","2023-10-27","Joe Biden","Biden","Current Term","[""Syria""]","[""Respond to threat""]","""In response to this series of attacks and continuing threats of future attacks.... The strikes were intended to establish deterrence ...in order to protect and defend our personnel, to degrade and disrupt the ongoing series of attacks against the United States and our partners, and to deter Iran and Iran-backed militia groups from conducting or supporting further attacks on United States personnel and facilities.""","[""Air operations""]","""United States forces conducted targeted strikes against facilities in eastern Syria. The precision strikes targeted facilities used by the IRGC and IRGC-affiliated groups""","[""Nation-state"",""Non-state actor""]"," ""facilities used by the IRGC and IRGC-affiliated groups"" ","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I directed this discrete military action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority as Commander in Chief and Chief Executive and to conduct United States foreign relations.""","Scope/duration specified","""on the night of October 26, 2023, United States forces conducted targeted strikes""","Yes","1-2 days","No",,"[""Self-Defense""]","""The United States took this necessary and proportionate action consistent with international law, and in the exercise of the United States’ inherent right of self-defense as reflected in Article 51 of the United Nations Charter.""","Yes","""numerous attacks using unmanned aerial systems and indirect fire, injuring several United States service members.  A United States contractor suffered a fatal cardiac incident while moving to shelter during one of these attacks. ""","Unknown",,"Yes","S/2023/813","https://www.justsecurity.org/wp-content/uploads/2023/11/US-Syria-strike-Article-51-UN-letter-30-October-2023.pdf","[""20210227A"",""20210629A"",""20220825A"",""20230325A"",""20231110A"",""20231114A"",""20231122A"",""20231227A"",""20240125A"",""20240204A""]","//assets.ctfassets.net/6hn51hpulw83/4yltAneR4cFQ2re12yRhnV/53a70a716a920ee4aa7cb65f96d5f1dd/20231027-Biden.pdf"
"20231110A","2023-11-10","Joe Biden","Biden","Current Term","[""Syria""]","[""Respond to threat""]","""The strike was taken to establish deterrence... I directed the strike in order to protect and defend our personnel, to degrade and disrupt the ongoing series of attacks against the United States and our partners, and to deter Iran and Iran-backed militia groups from conducting or supporting further attacks on United States personnel and facilities.""","[""Air operations""]","""United States forces conducted a precision strike against a facility in eastern Syria used by the IRGC and IRGC-affiliated groups for weapons storage and other purposes.""","[""Nation-state""]","""facility in eastern Syria used by the IRGC and IRGC-affiliated groups""","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I directed this military action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority as Commander in Chief and Chief Executive and to conduct United States foreign relations.""","Scope/duration specified","""On the night of November 8, 2023, at my direction, United States forces conducted a precision strike ""","Yes","1-2 days","No",,"[""Self-Defense""]","""The United States took this necessary and proportionate action consistent with international law, and in the exercise of the United States’ inherent right of self-defense as reflected in Article 51 of the United Nations Charter.""","Unknown",,"Unknown",,"Yes","S/2023/877","https://digitallibrary.un.org/record/4027823?ln=en","[""20210227A"",""20210629A"",""20220825A"",""20230325A"",""20231027A"",""20231114A"",""20231122A"",""20231227A"",""20240125A"",""20240204A""]","//assets.ctfassets.net/6hn51hpulw83/6oJQVaRk9fiqLRaQ9VNQOR/73de44e0a6a82e518b162142f8c01838/20231110-Biden.pdf"
"20231114A","2023-11-14","Joe Biden","Biden","Current Term","[""Syria""]","[""Respond to threat""]","""The strikes were taken to reaffirm deterrence...  I directed the strikes in order to protect and defend our personnel, to degrade and disrupt the ongoing series of attacks against the United States and our partners, and to deter Iran and Iran‑backed militia groups from conducting or supporting further attacks on United States personnel and facilities."" ","[""Air operations""]","""United States forces conducted precision strikes against two facilities in eastern Syria used by the IRGC and IRGC-affiliated groups for weapons storage, training, command and control, and other purposes.""","[""Nation-state""]","""two facilities in eastern Syria used by the IRGC and IRGC-affiliated groups""","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I directed this military action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority as Commander in Chief and Chief Executive and to conduct United States foreign relations.""","Scope/duration specified","""On the night of November 12, 2023, at my direction, United States forces conducted precision strikes ""","Yes","1-2 days","No",,"[""Self-Defense""]","""The United States took this necessary and proportionate action consistent with international law, and in the exercise of the United States’ inherent right of self-defense as reflected in Article 51 of the United Nations Charter.""","Unknown",,"Unknown",,"Yes","S/2023/877","https://digitallibrary.un.org/record/4027823?ln=en","[""20210227A"",""20210629A"",""20220825A"",""20230325A"",""20231027A"",""20231110A"",""20231122A"",""20231227A"",""20240125A"",""20240204A""]","//assets.ctfassets.net/6hn51hpulw83/2uba5qloqH3TxA72dkqM5a/fb5cd30e5a3ec78bd0b4ede412c07e5b/20231114-Biden.pdf"
"20231122A","2023-11-22","Joe Biden","Biden","Current Term","[""Iraq""]","[""Respond to threat""]","""The strikes were taken to deter future attacks ... to protect and defend our personnel who are in Iraq and Syria conducting military operations pursuant to the 2001 Authorization for Use of Military Force.  The strikes were intended to degrade and disrupt the ongoing series of attacks against the United States and our partners, and to deter Iran and Iran-backed militia groups from conducting or supporting further attacks on United States personnel and facilities."" ","[""Air operations""]","""United States forces conducted discrete strikes against facilities in Iraq used by the IRGC and IRGC-affiliated groups for command and control, logistics, and other purposes.""","[""Nation-state""]","""facilities in Iraq used by the IRGC and IRGC-affiliated groups""","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I directed this military action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority as Commander in Chief and Chief Executive and to conduct United States foreign relations.""","Scope/duration specified","""On the night of November 21, 2023, at my direction, United States forces conducted discrete strikes ""","Yes","1-2 days","No",,"[""Self-Defense""]","""The United States took this necessary and proportionate action consistent with international law, and in the exercise of the United States’ inherent right of self-defense as reflected in Article 51 of the United Nations Charter.""","Yes","""These attacks, which have caused injuries to United States personnel, have placed under grave threat the lives of United States personnel and of Coalition forces operating alongside United States forces.""","Unknown",,"Yes","S/2023/923","https://www.justsecurity.org/wp-content/uploads/2023/12/US-Article-51-11.28.23.pdf","[""20210227A"",""20210629A"",""20220825A"",""20230325A"",""20231027A"",""20231110A"",""20231114A"",""20231227A"",""20240125A"",""20240204A""]","//assets.ctfassets.net/6hn51hpulw83/48zinBFEEO92Jr4k7xxDZ4/cf6c1b7b85d38abe9c47348bc6dac168/20231122-Biden.pdf"
"20231227A","2023-12-27","Joe Biden","Biden","Current Term","[""Iraq""]","[""Respond to threat""]","""The strikes were taken to deter future attacks...  I directed the strikes in order to protect and defend our personnel who are in Iraq conducting military operations pursuant to the 2001 Authorization for Use of Military Force.  The strikes were intended to degrade and disrupt the ongoing series of attacks against the United States and our partners, and to deter Iran and Iran-backed militia groups from conducting or supporting further attacks on United States personnel and facilities.""","[""Air operations""]","""United States forces conducted discrete strikes against three facilities in Iraq used by Iran-affiliated groups for training, logistics support, and other purposes.""","[""Nation-state"",""Non-state actor""]","""Iran and Iran-backed militia groups""","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I directed this military action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority as Commander in Chief and Chief Executive and to conduct United States foreign relations.""","Scope/duration specified","""On the night of December 25, 2023, at my direction, United States forces conducted discrete strikes"" ","Yes","1-2 days","No",,"[""Self-Defense""]","""The United States took this necessary and proportionate action consistent with international law, and in the exercise of the United States’ inherent right of self-defense as reflected in Article 51 of the United Nations Charter.""","Yes","""These attacks, including the recent attack on the Erbil Air Base by Iran-affiliated Kataib Hezbollah and affiliated groups, have caused injuries to United States personnel"" ","Unknown",,"Yes","S/2023/1070","https://www.justsecurity.org/wp-content/uploads/2024/01/Art.-51-Letter-US-Dec.-29-2023.pdf","[""20210227A"",""20210629A"",""20220825A"",""20230325A"",""20231027A"",""20231110A"",""20231114A"",""20231122A"",""20240125A"",""20240204A""]","//assets.ctfassets.net/6hn51hpulw83/3MLxaBjdu3I0FKMqcoViaj/3fa81ab2c70793552dec5805878a0012/20231227-Biden.pdf"
"20240105A","2024-01-05","Joe Biden","Biden","Current Term","[""Unknown""]","[""Respond to threat""]","""I directed this military action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests...""","[""Unknown""]","""Additional information is available in the attached classified annex.""","[""Unknown""]",,"Insufficient information to infer from report","Insufficient information to infer from report","Insufficient information to infer from report","[""Unknown""]","[""Constitution (Art. II)"",""Statute""]","""I directed this military action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority as Commander in Chief and Chief Executive, and to conduct United States foreign relations and in accordance with the 2001 Authorization for Use of Military Force (Public Law 107-40) and the Authorization for Use of Military Force Against Iraq (Public Law 107-243)."" ","None provided","""Additional information is available in the attached classified annex.""","No","Unknown","No",,"[""Self-Defense""]","""The United States took this necessary and proportionate action consistent with international law, and in the exercise of the United States’ inherent right of self-defense as reflected in Article 51 of the United Nations Charter.""","Unknown",,"Unknown",,"No",,,,"//assets.ctfassets.net/6hn51hpulw83/75I6WmF3unqXIPku6qe4D4/684faee003cc5b13b44ad2b57ae8cad1/20240105-Biden.pdf"
"20240112A","2024-01-12","Joe Biden","Biden","Current Term","[""Yemen""]","[""Respond to threat""]","""The strikes were taken to deter and degrade Houthi capacity to conduct future attacks... I directed the strikes in order to protect and defend our personnel and assets, to degrade and disrupt the ability of the Houthi militants to carry out future attacks against the United States and against vessels operating in the Red Sea region, and to deter the Houthi militants from conducting or supporting further attacks that could further destabilize the region and threaten United States strategic interests.""","[""Air operations""]","""discrete strikes against facilities in Yemen that facilitate Houthi militants’ attacks in the Red Sea region.  These facilities include air and coastal surveillance radar sites, unmanned aerial system launch facilities and launch sites, and cruise and ballistic missile facilities and launch sites.""  ","[""Non-state actor""]","""Yemen-based Houthi militants""","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I directed this military action consistent with my responsibility to protect United States citizens both at home and abroad and in furtherance of United States national security and foreign policy interests, pursuant to my constitutional authority as Commander in Chief and Chief Executive and to conduct United States foreign relations.""","Scope/duration specified","""On January 11, 2024, at my direction, United States forces as part of a multinational operation ... conducted discrete strikes"" ","Yes","1-2 days","Yes","""as part of a multinational operation alongside the United Kingdom, with support from Australia, Bahrain, Canada, and the Netherlands""","[""Self-Defense""]","""The United States took this necessary and proportionate action consistent with international law, and in the exercise of the United States’ inherent right of self-defense as reflected in Article 51 of the United Nations Charter.""","Unknown",,"Unknown",,"Yes","S/2024/56","https://www.justsecurity.org/wp-content/uploads/2024/01/Art.-51-Letter-US-Jan.-15-2024.pdf","[""20240124A"",""20240205A"",""20240226A""]","//assets.ctfassets.net/6hn51hpulw83/25l4KUgaTk82JnG9LwgH34/962a0592a4b6f89569b2b8a9207e6313/20240112-Biden.pdf"
